Year HCFC141B.box.1 HCFC141B.box.2 HCFC141B.box.3 HCFC141B.box.4 HCFC141B.sd.1 HCFC141B.sd.2 HCFC141B.sd.3 HCFC141B.sd.4 HFC134A.box.1 HFC134A.box.2 HFC134A.box.3 HFC134A.box.4 HFC134A.sd.1 HFC134A.sd.2 HFC134A.sd.3 HFC134A.sd.4 N2O.box.1 N2O.box.2 N2O.box.3 N2O.box.4 N2O.sd.1 N2O.sd.2 N2O.sd.3 N2O.sd.4 SF6.box.1 SF6.box.2 SF6.box.3 SF6.box.4 SF6.sd.1 SF6.sd.2 SF6.sd.3 SF6.sd.4 CFC11.box.1 CFC11.box.2 CFC11.box.3 CFC11.box.4 CFC11.sd.1 CFC11.sd.2 CFC11.sd.3 CFC11.sd.4 CFC12.box.1 CFC12.box.2 CFC12.box.3 CFC12.box.4 CFC12.sd.1 CFC12.sd.2 CFC12.sd.3 CFC12.sd.4 HCFC22.box.1 HCFC22.box.2 HCFC22.box.3 HCFC22.box.4 HCFC22.sd.1 HCFC22.sd.2 HCFC22.sd.3 HCFC22.sd.4
1979.292 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 301.411 301.023 298.89 300.485 0.235248 0.393553 0.494198 0.0685903 NA NA NA NA NA NA NA NA 162.755 158.052 150.556 154.92 0.480355 1.26314 1.97679 0.20318 290.241 293.404 272.766 266.054 1.17356 3.1767 6.09511 0.555814 NA NA NA NA NA NA NA NA
1979.375 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 301.685 300.924 299.029 300.466 0.139515 0.23566 0.481278 0.0681632 NA NA NA NA NA NA NA NA 163.126 158.938 150.984 154.939 0.304864 0.834238 1.63764 0.20318 291.269 295.741 274.046 268.479 1.39817 3.40294 4.56406 0.555814 NA NA NA NA NA NA NA NA
1979.458 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 301.818 300.792 299.521 300.521 0.19997 0.195598 0.239024 0.0680817 NA NA NA NA NA NA NA NA 163.71 159.922 151.4 155.041 0.707517 0.551445 1.21127 0.20318 292.89 298.167 275.267 270.995 2.57196 7.39974 6.13387 0.555814 NA NA NA NA NA NA NA NA
1979.542 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 301.816 300.822 300.311 300.618 0.166711 0.327568 0.694461 0.0675993 NA NA NA NA NA NA NA NA 164.476 160.964 151.892 155.237 0.613965 0.848377 1.56981 0.20318 295.016 300.921 276.434 273.502 1.25197 3.75171 7.49049 0.555814 NA NA NA NA NA NA NA NA
1979.625 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 301.763 301.106 301.101 300.782 0.232244 0.483104 0.63955 0.0671245 NA NA NA NA NA NA NA NA 165.389 162.065 152.515 155.485 0.761281 1.18066 3.46908 0.20318 297.432 304.049 277.65 275.884 1.77149 3.27097 7.82965 0.555814 NA NA NA NA NA NA NA NA
1979.708 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 301.747 301.553 301.554 301.045 0.365664 0.268653 0.920565 0.0668739 NA NA NA NA NA NA NA NA 166.421 163.209 153.283 155.706 0.70026 1.37626 4.31212 0.20318 299.892 307.157 279.086 278.043 1.78813 4.3173 6.54086 0.555814 NA NA NA NA NA NA NA NA
1979.792 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 301.977 302.006 301.545 301.379 0.240684 0.296932 0.59756 0.196342 NA NA NA NA NA NA NA NA 167.549 164.35 154.189 155.88 0.533245 1.08875 1.30817 0.20318 302.244 309.675 280.82 279.856 1.28734 4.25603 6.67652 0.555814 NA NA NA NA NA NA NA NA
1979.875 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 302.566 302.3 301.332 301.687 0.193352 0.426545 0.426367 0.143594 NA NA NA NA NA NA NA NA 168.752 165.452 155.193 156.045 0.316244 1.08875 1.92834 0.20318 304.491 311.409 282.742 281.205 1.61244 3.27097 9.21534 0.718944 NA NA NA NA NA NA NA NA
1979.958 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 303.157 302.297 301.185 301.777 0.235371 0.369987 0.63955 0.189504 NA NA NA NA NA NA NA NA 170.001 166.437 156.205 156.231 0.327013 1.17359 1.80237 0.20318 306.678 312.468 284.624 282.128 2.70557 2.21521 5.32959 0.626146 NA NA NA NA NA NA NA NA
1980.042 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 303.252 302.078 301.138 301.642 0.183255 0.195598 0.843044 0.18169 NA NA NA NA NA NA NA NA 171.173 167.209 157.14 156.473 0.265374 1.01805 1.45352 0.268627 308.745 313.051 286.238 282.913 2.53695 5.29764 5.27145 0.657404 NA NA NA NA NA NA NA NA
